
SWEPT_VAR_1 = 5.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
301.6   	-14.02  
302     	-14     
302.4   	-13.96  
302.8   	-13.94  
303.2   	-13.94  
303.6   	-13.94  
304     	-13.88  
304.4   	-13.8   
304.8   	-13.73  
305.2   	-13.71  
305.6   	-13.74  
306     	-13.77  
306.4   	-13.77  
306.8   	-13.77  
307.2   	-13.76  
307.6   	-13.73  
308     	-13.67  
308.4   	-13.6   
308.8   	-13.6   
309.2   	-13.6   
309.6   	-13.63  
310     	-13.59  
310.4   	-13.64  
310.8   	-13.65  
311.2   	-13.65  
311.6   	-13.59  
312     	-13.55  
312.4   	-13.59  
312.8   	-13.63  
313.2   	-13.59  
313.6   	-13.64  
314     	-13.67  
314.4   	-13.67  
314.8   	-13.65  
315.2   	-13.61  
315.6   	-13.54  
316     	-13.54  
316.4   	-13.55  
316.8   	-13.54  
317.2   	-13.54  
317.6   	-13.51  
318     	-13.53  
318.4   	-13.52  
318.8   	-13.5   
319.2   	-13.49  
319.6   	-13.47  
320     	-13.46  
320.4   	-13.44  
320.8   	-13.41  
321.2   	-13.44  
321.6   	-13.37  
322     	-13.43  
322.4   	-13.44  
322.8   	-13.44  
323.2   	-13.44  
323.6   	-13.47  
324     	-13.5   
324.4   	-13.48  
324.8   	-13.48  
325.2   	-13.49  
325.6   	-13.52  
326     	-13.54  
326.4   	-13.55  
326.8   	-13.58  
327.2   	-13.61  
327.6   	-13.61  
328     	-13.63  
328.4   	-13.64  
328.8   	-13.67  
329.2   	-13.71  
329.6   	-13.69  
330     	-13.7   
330.4   	-13.73  
330.8   	-13.8   
331.2   	-13.84  
331.6   	-13.89  
332     	-13.91  
332.4   	-13.9   
332.8   	-13.92  
333.2   	-13.94  
333.6   	-13.89  
334     	-13.88  
334.4   	-13.84  
334.8   	-13.82  
335.2   	-13.81  
335.6   	-13.81  
336     	-13.83  
336.4   	-13.94  
336.8   	-14.04  
337.2   	-14.07  
337.6   	-14.02  
338     	-14.05  
338.4   	-14.12  
338.8   	-14.17  
339.2   	-14.24  
339.6   	-14.25  
340     	-14.18  
340.4   	-14.03  
340.8   	-13.99  
341.2   	-13.96  
341.6   	-13.96  
342     	-13.93  
342.4   	-13.87  
342.8   	-13.91  
343.2   	-13.95  
343.6   	-13.94  
344     	-13.95  
344.4   	-13.87  
344.8   	-13.82  
345.2   	-13.79  
345.6   	-13.76  
346     	-13.78  
346.4   	-13.72  
346.8   	-13.73  
347.2   	-13.73  
347.6   	-13.75  
348     	-13.74  
348.4   	-13.73  
348.8   	-13.75  
349.2   	-13.71  
349.6   	-13.63  
350     	-13.6   
350.4   	-13.56  
350.8   	-13.55  
351.2   	-13.56  
351.6   	-13.54  
352     	-13.57  
352.4   	-13.57  
352.8   	-13.62  
353.2   	-13.63  
353.6   	-13.62  
354     	-13.68  
354.4   	-13.69  
354.8   	-13.69  
355.2   	-13.73  
355.6   	-13.78  
356     	-13.81  
356.4   	-13.75  
356.8   	-13.74  
357.2   	-13.7   
357.6   	-13.73  
358     	-13.75  
358.4   	-13.76  
358.8   	-13.8   
359.2   	-13.82  
359.6   	-13.79  
360     	-13.69  
360.4   	-13.6   
360.8   	-13.53  
361.2   	-13.56  
361.6   	-13.59  
362     	-13.6   
362.4   	-13.6   
362.8   	-13.57  
363.2   	-13.49  
363.6   	-13.52  
364     	-13.61  
364.4   	-13.6   
364.8   	-13.52  
365.2   	-13.47  
365.6   	-13.48  
366     	-13.51  
366.4   	-13.56  
366.8   	-13.6   
367.2   	-13.6   
367.6   	-13.64  
368     	-13.73  
368.4   	-13.83  
368.8   	-13.85  
369.2   	-13.83  
369.6   	-13.84  
370     	-13.91  
370.4   	-13.97  
370.8   	-14     
371.2   	-13.97  
371.6   	-13.94  
372     	-13.85  
372.4   	-13.81  
372.8   	-13.82  
373.2   	-13.78  
373.6   	-13.72  
374     	-13.65  
374.4   	-13.58  
374.8   	-13.55  
375.2   	-13.56  
375.6   	-13.55  
376     	-13.56  
376.4   	-13.56  
376.8   	-13.58  
377.2   	-13.61  
377.6   	-13.65  
378     	-13.66  
378.4   	-13.66  
378.8   	-13.62  
379.2   	-13.6   
379.6   	-13.59  
380     	-13.59  
380.4   	-13.61  
380.8   	-13.63  
381.2   	-13.65  
381.6   	-13.66  
382     	-13.68  
382.4   	-13.66  
382.8   	-13.68  
383.2   	-13.7   
383.6   	-13.71  
384     	-13.71  
384.4   	-13.72  
384.8   	-13.72  
385.2   	-13.68  
385.6   	-13.68  
386     	-13.7   
386.4   	-13.72  
386.8   	-13.75  
387.2   	-13.71  
387.6   	-13.77  
388     	-13.83  
388.4   	-13.88  
388.8   	-13.88  
389.2   	-13.82  
389.6   	-13.79  
390     	-13.81  
390.4   	-13.79  
390.8   	-13.72  
391.2   	-13.75  
391.6   	-13.78  
392     	-13.81  
392.4   	-13.8   
392.8   	-13.8   
393.2   	-13.84  
393.6   	-13.91  
394     	-13.94  
394.4   	-13.94  
394.8   	-13.95  
395.2   	-13.94  
395.6   	-13.92  
396     	-13.9   
396.4   	-13.86  
396.8   	-13.85  
397.2   	-13.86  
397.6   	-13.85  
398     	-13.87  
398.4   	-13.82  
398.8   	-13.8   
399.2   	-13.78  
399.6   	-13.7   
400     	-13.66  
400.4   	-13.67  
400.8   	-13.69  
401.2   	-13.76  
401.6   	-13.74  
402     	-13.75  
402.4   	-13.76  
402.8   	-13.76  
403.2   	-13.72  
403.6   	-13.72  
404     	-13.67  
404.4   	-13.64  
404.8   	-13.6   
405.2   	-13.55  
405.6   	-13.54  
406     	-13.58  
406.4   	-13.6   
406.8   	-13.63  
407.2   	-13.65  
407.6   	-13.71  
408     	-13.74  
408.4   	-13.78  
408.8   	-13.75  
409.2   	-13.72  
409.6   	-13.69  
410     	-13.67  
410.4   	-13.71  
410.8   	-13.78  
411.2   	-13.75  
411.6   	-13.73  
412     	-13.69  
412.4   	-13.68  
412.8   	-13.68  
413.2   	-13.65  
413.6   	-13.62  
414     	-13.64  
414.4   	-13.67  
414.8   	-13.69  
415.2   	-13.68  
415.6   	-13.63  
416     	-13.55  
416.4   	-13.56  
416.8   	-13.58  
417.2   	-13.59  
417.6   	-13.6   
418     	-13.6   
418.4   	-13.64  
418.8   	-13.68  
419.2   	-13.72  
419.6   	-13.79  
420     	-13.81  
420.4   	-13.73  
420.8   	-13.66  
421.2   	-13.65  
421.6   	-13.65  
422     	-13.67  
422.4   	-13.67  
422.8   	-13.6   
423.2   	-13.58  
423.6   	-13.54  
424     	-13.48  
424.4   	-13.47  
424.8   	-13.51  
425.2   	-13.54  
425.6   	-13.56  
426     	-13.6   
426.4   	-13.6   
426.8   	-13.66  
427.2   	-13.69  
427.6   	-13.73  
428     	-13.79  
428.4   	-13.89  
428.8   	-13.97  
429.2   	-14.03  
429.6   	-14.06  
430     	-14.08  
430.4   	-14.08  
430.8   	-14.09  
431.2   	-14.04  
431.6   	-14.02  
432     	-14.05  
432.4   	-14.06  
432.8   	-14.05  
433.2   	-14.07  
433.6   	-14.07  
434     	-14.06  
434.4   	-14.03  
434.8   	-14.03  
435.2   	-14.03  
435.6   	-14.04  
436     	-14.03  
436.4   	-14.04  
436.8   	-14     
437.2   	-13.96  
437.6   	-13.96  
438     	-13.92  
438.4   	-13.83  
438.8   	-13.77  
439.2   	-13.7   
439.6   	-13.63  
440     	-13.59  
440.4   	-13.56  
440.8   	-13.56  
441.2   	-13.55  
441.6   	-13.52  
442     	-13.49  
442.4   	-13.46  
442.8   	-13.44  
443.2   	-13.48  
443.6   	-13.53  
444     	-13.55  
444.4   	-13.59  
444.8   	-13.61  
445.2   	-13.61  
445.6   	-13.64  
446     	-13.68  
446.4   	-13.7   
446.8   	-13.75  
447.2   	-13.8   
447.6   	-13.82  
448     	-13.78  
448.4   	-13.76  
448.8   	-13.79  
449.2   	-13.76  
449.6   	-13.65  
450     	-13.63  
450.4   	-13.62  
450.8   	-13.6   
451.2   	-13.64  
451.6   	-13.68  
452     	-13.7   
452.4   	-13.75  
452.8   	-13.74  
453.2   	-13.68  
453.6   	-13.63  
454     	-13.61  
454.4   	-13.59  
454.8   	-13.59  
455.2   	-13.56  
455.6   	-13.54  
456     	-13.5   
456.4   	-13.47  
456.8   	-13.5   
457.2   	-13.55  
457.6   	-13.57  
458     	-13.58  
458.4   	-13.54  
458.8   	-13.51  
459.2   	-13.54  
459.6   	-13.49  
460     	-13.47  
