
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
202.4   	-79.94  
202.8   	-79.27  
203.2   	-77.13  
203.6   	-68.54  
204     	-35.4   
204.4   	43.09   
204.8   	36.56   
205.2   	20.61   
205.6   	2.735   
206     	-14.94  
206.4   	-33.62  
206.8   	-51.45  
207.2   	-63.93  
207.6   	-71.08  
208     	-75.05  
208.4   	-77.29  
208.8   	-78.61  
209.2   	-79.41  
209.6   	-79.92  
210     	-80.26  
210.4   	-80.48  
210.8   	-80.63  
211.2   	-80.73  
211.6   	-80.8   
212     	-80.84  
212.4   	-80.86  
212.8   	-80.87  
213.2   	-80.86  
213.6   	-80.85  
214     	-80.82  
214.4   	-80.8   
214.8   	-80.77  
215.2   	-80.73  
215.6   	-80.64  
216     	-80.32  
216.4   	-79.48  
216.8   	-76.71  
217.2   	-65.89  
217.6   	-23.96  
218     	43.62   
218.4   	34.38   
218.8   	17.9    
219.2   	-0.008134
219.6   	-17.75  
220     	-36.59  
220.4   	-53.85  
220.8   	-65.36  
221.2   	-71.88  
221.6   	-75.5   
222     	-77.56  
222.4   	-78.79  
222.8   	-79.54  
223.2   	-80.04  
223.6   	-80.37  
224     	-80.6   
224.4   	-80.76  
224.8   	-80.88  
225.2   	-80.96  
225.6   	-81.02  
226     	-81.06  
226.4   	-81.09  
226.8   	-81.1   
227.2   	-81.11  
227.6   	-81.1   
228     	-81.09  
228.4   	-81.06  
228.8   	-81.02  
229.2   	-80.99  
229.6   	-80.95  
230     	-80.92  
230.4   	-80.89  
230.8   	-80.86  
231.2   	-80.84  
231.6   	-80.82  
232     	-80.8   
232.4   	-80.78  
232.8   	-80.76  
233.2   	-80.75  
233.6   	-80.73  
234     	-80.72  
234.4   	-80.72  
234.8   	-80.72  
235.2   	-80.72  
235.6   	-80.73  
236     	-80.74  
236.4   	-80.76  
236.8   	-80.78  
237.2   	-80.81  
237.6   	-80.84  
238     	-80.87  
238.4   	-80.91  
238.8   	-80.95  
239.2   	-80.99  
239.6   	-81.02  
240     	-81.06  
240.4   	-81.09  
240.8   	-81.11  
241.2   	-81.13  
241.6   	-81.16  
242     	-81.18  
242.4   	-81.21  
242.8   	-81.23  
243.2   	-81.25  
243.6   	-81.25  
244     	-81.25  
244.4   	-81.25  
244.8   	-81.25  
245.2   	-81.25  
245.6   	-81.24  
246     	-81.23  
246.4   	-81.21  
246.8   	-81.18  
247.2   	-81.15  
247.6   	-81.11  
248     	-81.07  
248.4   	-81.02  
248.8   	-80.97  
249.2   	-80.91  
249.6   	-80.86  
250     	-80.79  
250.4   	-80.73  
250.8   	-80.67  
251.2   	-80.61  
251.6   	-80.55  
252     	-80.49  
252.4   	-80.42  
252.8   	-80.34  
253.2   	-80.15  
253.6   	-79.62  
254     	-78.03  
254.4   	-71.75  
254.8   	-47.43  
255.2   	38.95   
255.6   	39.53   
256     	24.68   
256.4   	6.96    
256.8   	-10.74  
257.2   	-29.1   
257.6   	-47.56  
258     	-61.54  
258.4   	-69.74  
