L			V_Ratio		Volume		Surface		Surface/Volume
200.6   	9.959e-05	2.228e+04	2.913e+04	2.043   
205.4   	7.439e-05	2.236e+04	2.924e+04	1.457   
208.2   	7.481e-06	2.237e+04	2.927e+04	3.667   
212.1   	4.545e-06	2.237e+04	2.929e+04	4.014   
217.1   	0.0001501	2.255e+04	2.952e+04	1.247   
220.6   	4.691e-06	2.256e+04	2.954e+04	3.67    
229.2   	0.0009174	2.378e+04	3.032e+04	0.638   
233.1   	4.49e-06	2.379e+04	3.036e+04	5.307   
237.7   	3.602e-05	2.384e+04	3.046e+04	1.941   
241.1   	2.278e-05	2.387e+04	3.055e+04	2.879   
245.2   	1.526e-07	2.387e+04	3.056e+04	14.67   
249.4   	2.458e-05	2.391e+04	3.064e+04	2.081   
252.2   	1.152e-05	2.393e+04	3.071e+04	3.787   
256.1   	5.691e-06	2.394e+04	3.074e+04	3.713   
260.5   	5.825e-05	2.404e+04	3.098e+04	2.334   
265.8   	2.605e-06	2.404e+04	3.1e+04 	5.387   
268.1   	3.99e-06	2.405e+04	3.105e+04	6.519   
272.9   	2.223e-06	2.406e+04	3.107e+04	5.786   
277.8   	6.564e-07	2.406e+04	3.108e+04	7.642   
280.4   	3.29e-05	2.412e+04	3.133e+04	3.835   
285.1   	7.766e-05	2.428e+04	3.154e+04	1.281   
289.9   	5.806e-05	2.441e+04	3.179e+04	2.062   
292.2   	7.677e-05	2.457e+04	3.205e+04	1.576   
297.7   	3.54e-07	2.457e+04	3.206e+04	11.19   
304.4   	7.971e-05	2.496e+04	3.245e+04	1.031   
308.8   	0.0001131	2.524e+04	3.273e+04	1.021   
312.1   	0.0001468	2.56e+04	3.301e+04	0.7783  
316.3   	0.0001186	2.59e+04	3.337e+04	1.202   
324.5   	3.552e-07	2.59e+04	3.337e+04	7.581   
329.7   	4.681e-06	2.591e+04	3.342e+04	3.809   
332.9   	7.945e-06	2.593e+04	3.347e+04	2.033   
336.5   	5.099e-05	2.608e+04	3.365e+04	1.244   
353.8   	4.712e-05	2.634e+04	3.402e+04	1.587   
356.7   	1.629e-05	2.639e+04	3.41e+04	1.579   
360.6   	4.553e-05	2.654e+04	3.429e+04	1.297   
364.5   	1.32e-05	2.658e+04	3.437e+04	1.637   
370     	7.12e-05	2.683e+04	3.462e+04	1.032   
373.5   	3.873e-05	2.697e+04	3.48e+04	1.29    
376.9   	3.089e-07	2.697e+04	3.48e+04	5.701   
380.3   	6.877e-05	2.722e+04	3.514e+04	1.333   
385.3   	1.454e-06	2.722e+04	3.516e+04	4.594   
389.3   	4.955e-07	2.723e+04	3.518e+04	9.094   
392.4   	0.0002104	2.804e+04	3.566e+04	0.5929  
397.8   	3.553e-06	2.806e+04	3.571e+04	2.88    
400.8   	1.732e-06	2.806e+04	3.573e+04	4.186   
413.2   	4.892e-07	2.83e+04	3.596e+04	8       
420.3   	2.89e-07	2.83e+04	3.601e+04	6.553   
424.6   	2.555e-08	2.83e+04	3.601e+04	14.72   
429.9   	6.189e-08	2.831e+04	3.602e+04	11.63   
432.8   	1.17e-08	2.831e+04	3.602e+04	16.81   
436.4   	1.044e-05	2.836e+04	3.609e+04	1.504   
449.2   	3.219e-07	2.836e+04	3.613e+04	21.72   
453     	7.191e-06	2.839e+04	3.619e+04	1.803   
456.9   	9.271e-06	2.844e+04	3.629e+04	1.979   
460.9   	1.502e-05	2.852e+04	3.642e+04	1.617   
465.1   	2.593e-07	2.853e+04	3.643e+04	8.975   
468     	3.203e-05	2.87e+04	3.666e+04	1.286   
474     	3.055e-05	2.888e+04	3.69e+04	1.398   
481.4   	1.955e-08	2.901e+04	3.705e+04	15.84   
485.2   	3.928e-06	2.904e+04	3.71e+04	2.1     
493.6   	3.039e-05	2.922e+04	3.73e+04	1.035   
496.7   	2.768e-06	2.924e+04	3.735e+04	3.031   
501.6   	8.423e-07	2.925e+04	3.743e+04	15.02   
504.3   	4.326e-07	2.925e+04	3.744e+04	4.576   
508.7   	2.369e-07	2.925e+04	3.746e+04	10.47   
512.5   	1.229e-06	2.926e+04	3.749e+04	3.609   
516.6   	3.789e-05	2.951e+04	3.777e+04	1.097   
520.3   	4.274e-06	2.954e+04	3.786e+04	3.175   
524.2   	3.793e-06	2.957e+04	3.797e+04	4.254   
529     	4.613e-06	2.96e+04	3.809e+04	3.52    
536.2   	7.865e-07	2.961e+04	3.816e+04	12.22   
540.9   	2.243e-05	2.977e+04	3.84e+04	1.472   
548.8   	2.277e-05	2.995e+04	3.859e+04	1.122   
552.6   	1.999e-05	3.01e+04	3.88e+04	1.348   
556.7   	1.383e-06	3.011e+04	3.883e+04	2.879   
561.5   	4.038e-08	3.011e+04	3.884e+04	13.89   
565.6   	6.87e-06	3.017e+04	3.894e+04	1.84    
569     	6.775e-09	3.017e+04	3.894e+04	16.81   
572.2   	2.658e-06	3.019e+04	3.899e+04	2.188   
577.7   	1.462e-08	3.019e+04	3.899e+04	19.08   
581.1   	1.11e-07	3.019e+04	3.9e+04 	7.486   
584.2   	9.735e-07	3.02e+04	3.904e+04	5.498   
