
SWEPT_VAR_1 = 1.550000000000000e+02    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
45      	-14.94  
45.1    	-15.06  
45.2    	-15.19  
45.3    	-15.31  
45.4    	-15.43  
45.5    	-15.55  
45.6    	-15.68  
45.7    	-15.8   
45.8    	-15.92  
45.9    	-16.04  
46      	-16.16  
46.1    	-16.28  
46.2    	-16.4   
46.3    	-16.52  
46.4    	-16.64  
46.5    	-16.76  
46.6    	-16.88  
46.7    	-17     
46.8    	-17.12  
46.9    	-17.23  
47      	-17.35  
47.1    	-17.47  
47.2    	-17.58  
47.3    	-17.7   
47.4    	-17.82  
47.5    	-17.93  
47.6    	-18.05  
47.7    	-18.16  
47.8    	-18.27  
47.9    	-18.39  
48      	-18.5   
48.1    	-18.61  
48.2    	-18.73  
48.3    	-18.84  
48.4    	-18.95  
48.5    	-19.06  
48.6    	-19.17  
48.7    	-19.28  
48.8    	-19.39  
48.9    	-19.5   
49      	-19.61  
49.1    	-19.71  
49.2    	-19.82  
49.3    	-19.93  
49.4    	-20.03  
49.5    	-20.14  
49.6    	-20.24  
49.7    	-20.35  
49.8    	-20.45  
49.9    	-20.56  
50      	-20.66  
50.1    	-20.76  
50.2    	-20.86  
50.3    	-20.96  
50.4    	-21.06  
50.5    	-21.16  
50.6    	-21.26  
50.7    	-21.36  
50.8    	-21.46  
50.9    	-21.56  
51      	-21.65  
51.1    	-21.75  
51.2    	-21.84  
51.3    	-21.94  
51.4    	-22.03  
51.5    	-22.12  
51.6    	-22.22  
51.7    	-22.31  
51.8    	-22.4   
51.9    	-22.49  
52      	-22.58  
52.1    	-22.09  
52.2    	-20.49  
52.3    	-18.73  
52.4    	-17.21  
52.5    	-16.01  
52.6    	-15.1   
52.7    	-14.43  
52.8    	-13.95  
52.9    	-13.61  
53      	-13.39  
53.1    	-13.25  
53.2    	-13.18  
53.3    	-13.16  
53.4    	-13.17  
53.5    	-13.21  
53.6    	-13.28  
53.7    	-13.36  
53.8    	-13.45  
53.9    	-13.55  
54      	-13.66  
54.1    	-13.77  
54.2    	-13.88  
54.3    	-14     
54.4    	-14.12  
54.5    	-14.24  
54.6    	-14.37  
54.7    	-14.49  
54.8    	-14.61  
54.9    	-14.74  
55      	-14.86  
55.1    	-14.98  
55.2    	-15.11  
55.3    	-15.23  
55.4    	-15.35  
55.5    	-15.47  
55.6    	-15.6   
55.7    	-15.72  
55.8    	-15.84  
55.9    	-15.96  
56      	-16.08  
56.1    	-16.2   
56.2    	-16.32  
56.3    	-16.45  
56.4    	-16.56  
56.5    	-16.68  
56.6    	-16.8   
56.7    	-16.92  
56.8    	-17.04  
56.9    	-17.16  
57      	-17.28  
57.1    	-17.39  
57.2    	-17.51  
57.3    	-17.63  
57.4    	-17.74  
57.5    	-17.86  
57.6    	-17.97  
57.7    	-18.09  
57.8    	-18.2   
57.9    	-18.32  
58      	-18.43  
58.1    	-18.54  
58.2    	-18.66  
58.3    	-18.77  
58.4    	-18.88  
58.5    	-18.99  
58.6    	-19.1   
58.7    	-19.21  
58.8    	-19.32  
58.9    	-19.43  
59      	-19.54  
59.1    	-19.65  
59.2    	-19.76  
59.3    	-19.86  
59.4    	-19.97  
59.5    	-20.07  
59.6    	-20.18  
59.7    	-20.29  
59.8    	-20.39  
59.9    	-20.49  
60      	-20.6   
60.1    	-20.7   
60.2    	-20.8   
60.3    	-20.9   
60.4    	-21     
60.5    	-21.1   
60.6    	-21.2   
60.7    	-21.3   
60.8    	-21.4   
60.9    	-21.5   
61      	-21.59  
61.1    	-21.69  
61.2    	-21.79  
61.3    	-21.88  
61.4    	-21.98  
61.5    	-22.07  
